"Source:","/home/gibi500/Vives/projectWeek/pcb/ControlleBord/ControlleBord.kicad_sch"
"Date:","Thu 02 Mar 2023 10:11:45 AM CET"
"Tool:","Eeschema (6.0.11)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","Manufacturer","PARTREV","Package","SNAPEDA_PN","STANDARD"
"","","U3","INA219AxD","Sensor_Energy:INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf","","","","","","","",""
"","","U4","FAN32SV10MMPX","homeMade:FAN32SV10MMPX","footprints1.0:FAN23SV10M","","","","","","","","",""
"","","U5","INA219AxD","Sensor_Energy:INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf","","","","","","","",""
"","","U6","MCP4531-103E/MS","MCP4531-103E_MS:MCP4531-103E{slash}MS","Kicad:SOP65P490X110-8N","","","","","","","","",""
"","","U7","CP2102N-Axx-xQFN28","Interface_USB:CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","","","","",""
"","","U8","ESP32-S3-WROOM-2-N32R8V","ESP32-S3-WROOM-2-N32R8V:ESP32-S3-WROOM-2-N32R8V","Kicad:XCVR_ESP32-S3-WROOM-2-N32R8V","","Espressif","3.25mm","","","1.0","","ESP32-S3-WROOM-2-N32R8V","Manufacturer Recommendations"
"","","U9","PTS645SM43SMTR92LFS","2023-03-02_01-59-27:PTS645SM43SMTR92LFS","SWITCH_43SMTR92LFS","","","","","","","","",""
"","","U10","PTS645SM43SMTR92LFS","2023-03-02_01-59-27:PTS645SM43SMTR92LFS","SWITCH_43SMTR92LFS","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","Manufacturer","PARTREV","Package","SNAPEDA_PN","STANDARD"
"1","2","C1, C11","470μF","Device:C","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~","","","","","","","",""
"2","1","C2","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"3","4","C3, C4, C10, C24","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"4","1","C5","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"5","5","C6, C7, C13, C17, C23","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"6","1","C8","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"7","1","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"8","2","C12, C22","22μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"9","1","C14","15nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"10","5","C15, C19, C21, C25, C26","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"11","1","C16","2.2μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"12","1","C18","33μF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","",""
"13","1","C20","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"14","1","CR1","SS34-E3/57T","2023-02-22_21-35-58:SS34-E3{slash}57T","footprints1.0:SS34-E3&slash_57T","","","","","","","","",""
